ID,District,Neighborhood,NeighborhoodCityState,Latitude,Longitude,ViolentCrimes,CrimesPer1000,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other
1,"NORTHERN","ABELL","ABELL Baltimore MD",39.324474,-76.610944,149,168,889,606,213,3,33,1,4,29,30,424,465,55,43,5,10,118,254,149,186,69,159,105,41,12,4,42,19,515,440,248,192,75,49,4,22
2,"SOUTHWEST","ALLENDALE","ALLENDALE Baltimore MD",39.291798,-76.6752,470,132,3554,18,3497,8,6,0,5,20,21,1536,2018,179,315,136,181,317,383,315,1039,689,874,253,62,111,34,510,193,1608,1433,818,615,175,99,20,56
3,"NORTHEAST","ARCADIA","ARCADIA Baltimore MD",39.331811,-76.564717,66,53,1235,623,537,4,12,0,10,49,31,592,643,101,85,40,55,116,188,164,380,106,305,194,79,23,9,88,40,510,462,356,106,48,14,9,25
4,"NORTHWEST","ARLINGTON","ARLINGTON Baltimore MD",39.348165,-76.68314,306,118,2598,33,2496,3,9,0,10,47,17,1219,1379,148,237,92,114,231,297,305,775,399,585,215,63,76,28,294,130,1312,1079,485,594,233,64,24,145
5,"NORTHEAST","ARMISTEAD GARDENS","ARMISTEAD GARDENS Baltimore MD",39.304972,-76.553158,252,73,3458,2698,108,51,14,8,413,166,841,1621,1837,266,330,113,125,272,496,438,929,489,877,431,164,115,47,331,160,1543,1459,981,478,84,26,17,41
6,"NORTHWEST","ASHBURTON","ASHBURTON Baltimore MD",39.326771,-76.674478,158,63,2520,33,2431,6,4,0,15,31,39,1082,1438,106,178,79,103,192,214,250,791,607,625,326,99,65,21,234,78,1202,1097,787,310,105,18,14,73
7,"SOUTHEAST","BALTIMORE HIGHLANDS","BALTIMORE HIGHLANDS Baltimore MD",39.29358,-76.564717,561,208,2703,1023,700,63,75,11,693,138,1117,1485,1218,253,203,85,95,358,569,413,500,227,514,194,90,108,35,212,119,1148,876,302,574,272,98,45,129
8,"EASTERN","BARCLAY","BARCLAY Baltimore MD",39.315,-76.611666,422,193,2181,302,1764,10,23,0,35,47,78,1149,1032,127,129,42,57,255,368,280,740,183,379,119,24,52,10,208,97,1490,955,223,732,535,127,33,375
9,"SOUTHERN","BARRE CIRCLE","BARRE CIRCLE Baltimore MD",39.284705,-76.627914,65,144,450,228,154,6,34,0,12,16,14,224,226,14,19,7,10,82,165,62,65,26,69,49,14,7,5,13,5,245,209,98,111,36,11,3,22
10,"SOUTHEAST","BAYVIEW","BAYVIEW Baltimore MD",39.291562,-76.545882,103,46,2263,1481,234,7,123,0,342,76,519,1151,1112,189,133,53,74,221,479,284,522,308,502,285,124,76,31,141,62,1114,968,520,448,146,60,20,66
11,"SOUTHWEST","BEECHFIELD","BEECHFIELD Baltimore MD",39.276234,-76.700461,228,61,3708,363,3216,7,29,0,20,73,87,1638,2070,256,372,174,161,384,573,484,1051,253,970,404,161,95,46,471,266,1554,1440,888,552,114,74,13,27
12,"NORTHEAST","BELAIR-EDISON","BELAIREDISON Baltimore MD",39.321528,-76.574831,1552,93,16690,1338,14958,38,81,1,77,197,199,7500,9190,1134,1734,794,873,1825,2251,2145,4675,1259,4157,1457,491,382,155,2318,1191,6710,5986,4107,1879,724,238,104,382
13,"NORTHEAST","BELAIR-PARKSIDE","BELAIRPARKSIDE Baltimore MD",39.329793,-76.566524,34,77,444,108,299,1,7,0,1,28,10,197,247,24,51,18,33,33,68,54,119,44,106,55,19,5,3,46,23,183,157,121,36,26,5,8,13
14,"NORTHERN","BELLONA-GITTINGS","BELLONAGITTINGS Baltimore MD",39.369133,-76.622498,6,10,599,481,64,0,35,0,2,17,19,286,313,38,58,20,21,32,39,69,191,131,178,159,63,8,2,11,5,265,246,211,35,19,6,6,7
15,"EASTERN","BEREA","BEREA Baltimore MD",39.310566,-76.579165,395,102,3865,32,3784,11,7,0,5,26,35,1749,2116,234,319,133,185,362,382,421,1092,737,930,280,72,119,34,531,193,1815,1518,815,703,297,115,16,166
16,"NORTHERN","BETTER WAVERLY","BETTER WAVERLY Baltimore MD",39.323246,-76.605889,524,182,2874,389,2363,9,27,0,28,58,92,1251,1623,224,260,109,118,306,507,361,790,199,606,173,63,82,39,351,186,1383,1149,434,715,234,60,29,145
17,"NORTHEAST","BEVERLY HILLS","BEVERLY HILLS Baltimore MD",39.339274,-76.570244,45,67,669,389,265,1,3,0,8,3,13,309,360,36,46,20,25,44,95,96,234,73,170,112,39,10,4,48,22,317,289,237,52,28,4,6,18
18,"EASTERN","BIDDLE STREET","BIDDLE STREET Baltimore MD",39.304462,-76.58995,126,100,1265,8,1239,0,2,0,6,10,10,601,664,97,129,44,66,139,126,155,315,194,314,78,23,39,4,197,84,601,429,208,221,172,45,4,123
19,"NORTHERN","BLYTHEWOOD","BLYTHEWOOD Baltimore MD",39.351377,-76.627336,5,69,72,67,0,0,0,0,0,5,3,38,34,2,12,2,5,1,2,12,20,16,21,19,8,2,0,0,0,28,26,26,0,2,0,0,2
20,"CENTRAL","BOLTON HILL","BOLTON HILL Baltimore MD",39.308315,-76.625387,357,72,4974,2807,1581,10,361,2,53,160,163,2215,2759,139,152,49,41,1496,708,479,1070,840,613,439,125,48,22,126,54,2883,2589,693,1896,294,177,8,109
21,"SOUTHWEST","BOOTH-BOYD","BOOTHBOYD Baltimore MD",39.287226,-76.649574,89,108,822,25,776,3,1,0,0,17,8,408,414,60,94,26,40,98,106,89,232,77,187,39,13,21,9,127,54,430,275,74,201,155,9,10,136
22,"WESTERN","BRADDISH AVE./PANWAY","BRADDISH AVEPANWAY Baltimore MD",39.304809,-76.660799,87,71,1221,10,1197,1,0,2,0,11,4,508,713,62,90,63,60,123,129,151,359,184,313,102,31,26,10,185,77,574,507,343,164,67,22,8,37
23,"SOUTHEAST","BREWERS HILL","BREWERS HILL Baltimore MD",39.280238,-76.566274,177,117,1511,1249,56,24,39,1,104,38,171,737,774,79,56,24,19,129,526,200,309,169,289,182,49,38,16,69,24,754,691,477,214,63,16,18,29
24,"WESTERN","BRIDGEVIEW/GREENLAWN","BRIDGEVIEWGREENLAWN Baltimore MD",39.301479,-76.654266,249,126,1975,7,1943,4,2,0,1,18,11,874,1101,119,162,61,84,183,223,243,663,237,460,141,33,61,19,258,101,927,848,394,454,79,25,7,47
25,"EASTERN","BROADWAY EAST","BROADWAY EAST Baltimore MD",39.30903,-76.587833,675,137,4931,117,4681,15,17,2,15,84,65,2217,2714,456,478,205,245,547,571,588,1272,569,1082,243,85,141,55,698,351,2617,1680,642,1038,937,219,39,679
26,"SOUTHERN","BROOKLYN","BROOKLYN Baltimore MD",39.238196,-76.603722,1324,132,9996,4788,4051,52,148,2,502,453,1149,4870,5126,1055,1163,378,390,1132,1740,1237,2242,659,2279,937,423,320,171,1022,647,4343,3597,1282,2315,746,450,103,193
27,"NORTHWEST","BURLEITH-LEIGHTON","BURLEITHLEIGHTON Baltimore MD",39.319443,-76.660763,82,111,737,5,711,2,0,0,0,19,3,330,407,55,57,23,26,70,90,72,211,133,187,55,12,23,4,109,40,327,291,196,95,36,4,3,29
28,"SOUTHEAST","BUTCHERS HILL","BUTCHERS HILL Baltimore MD",39.293012,-76.58711,267,141,1889,1320,349,45,68,0,70,37,130,932,957,123,63,29,28,191,634,328,361,132,351,238,79,22,9,91,34,1025,888,454,434,137,42,38,57
29,"NORTHWEST","CALLAWAY-GARRISON","CALLAWAYGARRISON Baltimore MD",39.33254,-76.680253,142,79,1798,35,1720,9,7,0,7,20,11,819,979,97,130,57,70,197,224,233,516,274,443,174,44,52,16,217,73,769,657,368,289,112,14,9,89
30,"NORTHERN","CAMERON VILLAGE","CAMERON VILLAGE Baltimore MD",39.356969,-76.600111,114,79,1435,48,1353,7,0,1,11,15,32,642,793,101,127,41,67,145,215,169,414,156,368,139,41,39,18,190,104,725,630,335,295,95,47,7,41
31,"SOUTHWEST","CARROLL-SOUTH HILTON","CARROLLSOUTH HILTON Baltimore MD",39.282833,-76.672138,213,155,1370,40,1315,1,1,0,1,12,13,630,740,84,131,44,62,142,177,169,367,194,340,101,24,47,15,192,76,625,518,315,203,107,27,11,69
32,"SOUTHERN","CARROLLTON RIDGE","CARROLLTON RIDGE Baltimore MD",39.282956,-76.648491,694,190,3645,1222,2162,10,80,1,65,105,108,1752,1893,327,467,173,198,393,484,507,878,218,782,234,108,136,61,412,242,1988,1145,322,823,843,176,51,616
33,"NORTHERN","CEDARCROFT","CEDARCROFT Baltimore MD",39.369948,-76.613111,26,36,726,633,45,1,28,0,3,16,25,352,374,54,101,26,21,31,35,127,236,95,192,175,94,2,1,15,9,277,263,237,26,14,5,4,5
34,"NORTHEAST","CEDMONT","CEDMONT Baltimore MD",39.346256,-76.535817,320,123,2594,1175,1307,10,50,0,16,36,66,1226,1368,174,214,96,117,205,365,391,757,275,626,382,166,57,20,187,78,1074,976,796,180,98,33,25,40
35,"NORTHEAST","CEDONIA","CEDONIA Baltimore MD",39.330631,-76.532927,184,55,3316,176,3051,4,15,0,21,49,63,1467,1849,232,298,136,149,364,483,415,940,299,857,391,136,65,29,401,196,1428,1295,742,553,133,77,20,36
36,"NORTHWEST","CENTRAL FOREST PARK","CENTRAL FOREST PARK Baltimore MD",39.326451,-76.688192,109,86,1273,48,1205,1,7,0,1,11,18,606,667,82,100,36,64,121,149,124,374,223,261,119,44,28,8,114,43,571,418,222,196,153,78,19,56
37,"NORTHWEST","CENTRAL PARK HEIGHTS","CENTRAL PARK HEIGHTS Baltimore MD",39.344276,-76.671591,581,96,6026,109,5774,11,15,0,22,95,85,2746,3280,492,570,225,297,731,774,713,1572,652,1355,368,97,180,69,807,392,2829,1994,846,1148,835,175,36,624
38,"CENTRAL","CHARLES NORTH","CHARLES NORTH Baltimore MD",39.331223,-76.618009,415,392,1059,216,666,5,100,1,39,32,60,608,451,26,17,6,10,94,209,152,390,155,104,58,10,16,5,30,13,916,716,51,665,200,117,11,72
39,"NORTHERN","CHARLES VILLAGE","CHARLES VILLAGE Baltimore MD",39.32005,-76.616721,833,94,8906,5187,1313,20,1883,9,151,343,491,4676,4230,146,58,26,47,4562,1792,731,1087,457,612,454,111,55,12,103,53,4265,3725,619,3106,540,372,30,138
40,"SOUTHERN","CHERRY HILL","CHERRY HILL Baltimore MD",39.251097,-76.626831,998,119,8367,238,7919,16,21,1,62,110,140,3431,4936,949,1242,398,375,1013,1228,759,1710,693,2096,397,149,193,82,1506,1015,3441,3199,547,2652,242,127,12,103
41,"NORTHWEST","CHESWOLDE","CHESWOLDE Baltimore MD",39.368212,-76.680253,141,19,7270,5654,1053,12,391,11,43,106,170,3296,3974,693,626,248,220,714,1301,733,1353,1382,1661,1354,611,70,30,237,125,3445,3291,1311,1980,154,74,30,50
42,"NORTHERN","CHINQUAPIN PARK/BELV","CHINQUAPIN PARKBELV Baltimore MD",39.363923,-76.596937,117,89,1309,134,1121,14,7,1,6,26,23,584,725,75,93,50,47,116,140,170,421,197,352,177,48,27,12,148,57,551,525,456,69,26,11,7,8
43,"NORTHERN","COLDSPRING","COLDSPRING Baltimore MD",39.347359,-76.654266,151,147,1029,165,790,5,35,0,4,30,17,413,616,52,57,22,27,51,109,149,300,262,201,124,49,12,6,65,28,630,608,321,287,22,11,3,8
44,"NORTHEAST","COLDSTREAM HOMESTEAD","COLDSTREAM HOMESTEAD Baltimore MD",39.325452,-76.595782,840,116,7266,118,6972,21,31,0,16,108,102,3337,3929,489,732,310,365,818,911,842,1917,882,1714,486,151,211,63,1017,432,3140,2428,1257,1171,712,208,60,444
45,"NORTHWEST","CONCERNED CITIZENS O","CONCERNED CITIZENS O Baltimore MD",39.403527,-76.609135,119,103,1153,12,1126,1,2,0,1,11,12,523,630,58,97,48,65,138,122,118,341,166,288,98,33,30,13,160,59,546,432,238,194,114,44,20,50
46,"WESTERN","COPPIN HEIGHTS/ASHBU","COPPIN HEIGHTSASHBU Baltimore MD",39.306914,-76.657154,296,111,2660,13,2592,7,10,3,7,28,20,1210,1450,189,273,119,131,295,316,292,719,326,604,164,43,79,21,361,159,1269,891,457,434,378,78,28,272
47,"NORTHWEST","CROSS COUNTRY","CROSS COUNTRY Baltimore MD",39.362118,-76.682725,97,19,5157,4039,822,2,175,0,50,69,111,2340,2817,483,614,242,251,461,674,481,1015,936,1143,921,457,58,26,164,85,2130,1989,1037,952,141,64,32,45
48,"NORTHERN","CROSS KEYS","CROSS KEYS Baltimore MD",39.353994,-76.645603,42,49,856,725,85,0,25,1,5,15,15,344,512,9,18,4,1,17,89,60,272,386,169,143,18,3,1,23,5,729,625,497,128,104,18,20,66
49,"SOUTHERN","CURTIS BAY","CURTIS BAY Baltimore MD",39.220858,-76.586388,488,120,4063,2512,1086,30,104,0,88,243,227,2028,2035,386,395,113,122,430,706,528,1051,332,943,456,170,144,67,343,189,1904,1528,618,910,376,232,48,96
50,"NORTHERN","CYLBURN","CYLBURN Baltimore MD",39.348366,-76.662929,173,73,2357,43,2245,18,5,0,12,34,26,1065,1292,154,208,99,84,211,284,247,671,399,591,213,55,62,20,316,138,1047,950,523,427,97,35,9,53
51,"EASTERN","DARLEY PARK","DARLEY PARK Baltimore MD",39.315801,-76.593972,140,115,1218,7,1189,1,6,0,0,15,7,585,633,94,128,57,61,138,144,145,312,139,278,76,24,34,15,168,66,525,378,181,197,147,42,10,95
52,"SOUTHWEST","DICKEYVILLE","DICKEYVILLE Baltimore MD",39.318995,-76.703582,2,13,156,143,9,0,0,0,1,3,6,73,83,12,5,0,1,3,15,19,67,34,33,28,9,1,0,4,1,88,84,81,3,4,0,0,4
53,"NORTHWEST","DOLFIELD","DOLFIELD Baltimore MD",39.335541,-76.674972,202,94,2156,48,2065,12,10,0,4,17,17,931,1225,147,175,75,90,191,251,251,610,366,517,168,46,45,20,304,132,935,792,396,396,143,41,9,93
54,"NORTHWEST","DORCHESTER/GRAN-BARR","DORCHESTERGRANBARR Baltimore MD",39.290385,-76.612189,219,129,1700,17,1659,3,6,0,3,12,17,797,903,128,146,87,87,172,211,181,479,209,396,131,52,57,22,208,88,760,598,301,297,162,30,7,125
55,"CENTRAL","DOWNTOWN","DOWNTOWN Baltimore MD",39.292007,-76.616721,2480,558,4448,2161,1126,12,927,6,65,151,234,2259,2189,98,40,21,17,1017,1999,512,634,110,417,310,75,37,14,70,31,3228,2600,137,2463,628,349,133,146
56,"CENTRAL","DRUID HEIGHTS","DRUID HEIGHTS Baltimore MD",39.309108,-76.637661,287,192,1497,19,1454,5,4,0,2,13,11,732,765,105,129,68,72,165,193,162,432,171,292,64,22,46,16,182,90,1074,591,173,418,483,55,22,406
57,"EASTERN","DUNBAR","DUNBAR Baltimore MD",39.295489,-76.598474,489,550,889,47,734,1,91,0,1,15,8,343,546,75,102,24,28,154,166,74,197,69,170,25,11,9,3,136,80,385,367,1,366,18,14,0,4
58,"NORTHWEST","EAST ARLINGTON","EAST ARLINGTON Baltimore MD",39.331198,-76.668704,140,58,2432,18,2368,0,8,2,8,28,27,1036,1396,160,231,96,95,248,342,289,640,331,635,196,69,82,30,357,167,1067,1000,481,519,67,41,11,15
59,"EASTERN","EAST BALTIMORE MIDWA","EAST BALTIMORE MIDWA Baltimore MD",39.31471,-76.603722,600,198,3034,40,2924,13,20,0,0,37,13,1407,1627,227,291,122,120,337,364,365,824,384,708,195,57,83,25,430,164,1556,1019,511,508,537,142,43,352
60,"WESTERN","EASTERWOOD","EASTERWOOD Baltimore MD",39.30807,-76.650657,185,116,1596,31,1539,6,3,0,1,16,26,727,869,114,160,73,85,182,204,177,412,189,353,93,27,41,16,219,108,775,561,291,270,214,39,5,170
61,"SOUTHEAST","EASTWOOD","EASTWOOD Baltimore MD",39.285771,-76.541598,23,40,577,486,25,1,10,1,29,25,74,281,296,34,40,14,16,58,101,81,144,89,137,84,31,19,7,34,13,270,253,188,65,17,4,6,7
62,"SOUTHWEST","EDMONDSON VILLAGE","EDMONDSON VILLAGE Baltimore MD",39.296847,-76.680253,542,138,3940,30,3832,6,2,0,4,66,32,1712,2228,272,298,185,179,464,475,404,1043,620,1044,334,89,100,33,610,274,1666,1493,943,550,173,64,19,90
63,"NORTHEAST","EDNOR GARDENS-LAKESI","EDNOR GARDENSLAKESI Baltimore MD",39.330432,-76.5965,351,68,5185,802,4153,10,93,0,25,102,70,2284,2901,290,363,159,167,375,699,683,1464,985,1244,646,188,95,39,503,181,2410,2261,1604,657,149,72,29,48
64,"SOUTHEAST","ELLWOOD PARK/MONUMEN","ELLWOOD PARKMONUMEN Baltimore MD",39.263302,-76.579906,556,155,3580,415,2647,44,72,7,276,119,501,1738,1842,323,416,163,180,486,601,435,795,181,789,217,77,94,46,478,261,1363,1047,365,682,316,175,26,115
65,"NORTHERN","EVERGREEN","EVERGREEN Baltimore MD",39.346496,-76.630441,26,68,382,348,9,2,9,0,0,14,9,182,200,26,41,3,8,12,53,77,126,36,98,76,38,6,1,16,9,216,185,128,57,31,10,7,14
66,"WESTERN","EVERGREEN LAWN","EVERGREEN LAWN Baltimore MD",39.2971,-76.654988,79,70,1132,10,1082,2,3,0,8,27,19,523,609,72,88,39,59,114,115,130,345,170,273,102,35,36,8,135,51,441,399,283,116,42,8,3,31
67,"SOUTHWEST","FAIRMOUNT","FAIRMOUNT Baltimore MD",39.309043,-76.680974,50,144,347,10,322,7,1,0,3,4,2,166,181,21,22,4,11,32,29,42,101,85,82,40,5,11,3,31,7,164,143,104,39,21,8,5,8
68,"NORTHWEST","FALLSTAFF","FALLSTAFF Baltimore MD",39.363583,-76.706234,174,41,4219,1575,2031,23,102,25,382,81,589,1958,2261,343,331,140,176,431,607,494,1109,588,965,525,225,123,39,317,160,1935,1789,649,1140,146,108,13,25
69,"SOUTHERN","FEDERAL HILL/MONTGOM","FEDERAL HILLMONTGOM Baltimore MD",39.279304,-76.611666,339,130,2600,2315,132,5,86,0,13,49,79,1349,1251,123,71,9,19,358,933,345,537,205,424,366,102,23,9,35,16,1554,1395,670,725,159,83,27,49
70,"NORTHWEST","FOREST PARK","FOREST PARK Baltimore MD",39.326451,-76.688192,158,101,1560,25,1504,8,1,0,5,17,35,681,879,96,102,45,64,177,169,180,500,227,367,137,38,46,21,184,59,933,667,275,392,266,54,6,206
