ID,District,Neighborhood,NeighborhoodCityState,Latitude,Longitude,ViolentCrimes,CrimesPer1000,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other
144,"EASTERN","OLDTOWN","OLDTOWN Baltimore MD",39.297418,-76.603,352,132,2658,35,2535,2,38,1,3,44,11,1068,1590,286,367,110,129,232,405,243,636,250,632,102,31,49,21,481,335,1231,1177,168,1009,54,28,9,17
145,"EASTERN","OLIVER","OLIVER Baltimore MD",39.307831,-76.599389,577,139,4153,55,4016,6,11,1,8,56,39,1896,2257,302,342,172,228,460,455,460,1210,524,932,189,62,132,39,611,281,2514,1591,594,997,923,111,39,773
146,"EASTERN","ORANGEVILLE","ORANGEVILLE Baltimore MD",39.298718,-76.549687,107,530,202,145,25,2,1,1,17,11,23,99,103,15,11,8,4,24,27,29,55,29,44,30,11,6,1,8,4,101,85,62,23,16,2,7,7
147,"NORTHEAST","ORIGINAL NORTHWOOD","ORIGINAL NORTHWOOD Baltimore MD",39.340625,-76.5965,66,53,1241,465,684,7,14,1,25,45,55,645,596,72,76,29,33,84,186,148,400,213,280,181,70,22,6,77,31,545,518,376,142,27,6,8,13
148,"SOUTHERN","OTTERBEIN","OTTERBEIN Baltimore MD",39.282191,-76.614555,126,69,1823,1406,282,8,78,4,19,26,50,826,997,68,44,10,14,112,323,179,461,612,336,279,61,13,5,44,19,1275,1162,439,723,113,61,10,42
149,"NORTHEAST","OVERLEA","OVERLEA Baltimore MD",39.358969,-76.517786,33,43,774,506,235,3,6,0,13,11,21,381,393,43,59,25,33,43,104,113,251,103,174,101,41,21,3,52,31,324,297,236,61,27,6,7,14
150,"NORTHWEST","PARK CIRCLE","PARK CIRCLE Baltimore MD",39.327643,-76.660042,231,73,3153,65,3006,10,9,1,21,41,44,1463,1690,213,264,125,157,293,341,321,976,463,652,195,69,80,19,377,149,1560,1270,426,844,290,80,35,175
151,"NORTHERN","PARKLANE","PARKLANE Baltimore MD",39.352139,-76.630622,158,77,2049,46,1967,9,7,0,4,16,20,905,1144,176,197,77,92,231,289,215,523,249,509,151,54,64,23,294,154,814,719,324,395,95,36,6,53
152,"NORTHEAST","PARKSIDE","PARKSIDE Baltimore MD",39.326672,-76.564545,182,68,2683,281,2231,10,88,0,14,59,28,1261,1422,178,240,101,110,329,408,369,777,171,694,278,114,74,26,342,165,1190,1113,575,538,77,40,12,25
153,"SOUTHEAST","PATTERSON PLACE","PATTERSON PLACE Baltimore MD",39.293588,-76.58386,197,169,1165,558,413,14,32,1,114,33,270,602,563,78,92,31,35,130,336,200,205,58,223,104,46,32,15,87,44,573,432,211,221,141,55,38,48
154,"NORTHERN","PEN LUCY","PEN LUCY Baltimore MD",39.339089,-76.605167,227,74,3078,152,2838,16,4,3,20,45,43,1383,1695,245,265,117,140,331,455,384,826,315,680,211,75,86,38,383,201,1483,1250,438,812,233,160,24,49
155,"EASTERN","PEN-FALLSWAY","PENFALLSWAY Baltimore MD",39.296818,-76.608778,380,59,6423,967,5374,5,9,3,52,13,147,5866,557,9,25,7,107,1524,1916,1434,1352,49,0,0,0,0,0,0,0,5,1,0,1,4,4,0,0
156,"WESTERN","PENN NORTH","PENN NORTH Baltimore MD",39.312883,-76.642715,535,290,1846,19,1780,3,5,0,4,35,10,849,997,153,154,82,95,201,228,243,467,223,392,109,51,54,15,229,95,1074,686,244,442,388,75,6,307
157,"SOUTHWEST","PENROSE/FAYETTE ST OUTREACH","PENROSEFAYETTE ST OUTREACH Baltimore MD",39.288932,-76.651268,499,153,3266,41,3167,11,2,0,4,41,22,1554,1712,203,278,131,151,364,346,341,926,526,737,202,43,106,23,429,167,1579,1174,540,634,405,63,16,326
158,"SOUTHEAST","PERKINS HOMES","PERKINS HOMES Baltimore MD",39.28765,-76.595778,165,100,1649,26,1584,12,0,0,5,22,16,645,1004,200,305,94,98,194,265,151,279,63,411,32,15,24,10,355,282,636,614,3,611,22,16,0,6
159,"NORTHEAST","PERRING LOCH","PERRING LOCH Baltimore MD",39.352012,-76.584944,134,44,3014,116,2839,6,9,0,9,35,28,1327,1687,178,236,113,122,308,303,339,921,494,797,411,89,48,15,338,120,1164,1124,1005,119,40,4,8,28
160,"NORTHWEST","PIMLICO GOOD NEIGHBO","PIMLICO GOOD NEIGHBO Baltimore MD",39.352959,-76.678132,133,121,1102,30,1048,0,3,0,12,9,12,517,585,60,82,46,42,118,90,117,310,237,248,87,21,28,12,133,51,506,449,233,216,57,11,5,41
161,"SOUTHEAST","PLEASENT VIEW GARDENS","PLEASENT VIEW GARDENS Baltimore MD",39.293425,-76.601556,112,157,713,7,699,1,0,0,2,4,4,266,447,53,68,28,41,77,79,57,164,146,176,26,11,11,1,139,67,352,331,23,308,21,3,0,18
162,"WESTERN","POPPLETON","POPPLETON Baltimore MD",39.291476,-76.634051,411,132,3105,74,2980,8,4,0,8,31,25,1388,1717,267,372,134,149,313,406,295,803,366,674,111,39,60,26,503,305,1625,1263,209,1054,362,89,5,268
163,"NORTHWEST","PURNELL","PURNELL Baltimore MD",39.320432,-76.707754,30,35,849,26,809,3,5,0,2,4,8,366,483,73,117,36,33,86,217,122,140,25,214,77,38,22,17,115,84,341,325,17,308,16,11,0,5
164,"NORTHERN","RADNOR-WINSTON","RADNORWINSTON Baltimore MD",39.34957,-76.613111,42,61,684,419,230,1,11,0,5,18,22,312,372,39,72,21,14,94,44,107,193,100,150,101,49,8,3,41,24,239,229,163,66,10,3,2,5
165,"NORTHEAST","RAMBLEWOOD","RAMBLEWOOD Baltimore MD",39.362876,-76.590722,105,62,1705,100,1568,3,10,0,0,24,9,776,929,83,140,82,68,180,215,199,570,168,449,234,78,37,11,178,78,686,654,560,94,32,5,17,10
166,"NORTHWEST","REISTERSTOWN STATION","REISTERSTOWN STATION Baltimore MD",39.352284,-76.707677,594,302,1968,131,1700,8,26,2,52,49,116,898,1070,113,144,65,83,210,285,246,602,220,483,203,69,44,14,236,88,912,840,349,491,72,57,5,10
167,"NORTHERN","REMINGTON","REMINGTON Baltimore MD",39.320657,-76.622701,264,107,2458,1440,643,8,213,0,63,91,113,1279,1179,120,155,71,70,394,608,323,533,184,463,232,76,70,27,161,69,1250,1072,521,551,178,70,32,76
168,"CENTRAL","RESERVOIR HILL","RESERVOIR HILL Baltimore MD",39.314423,-76.634051,598,97,6140,522,5415,30,22,0,23,128,112,2862,3278,465,557,207,200,596,958,786,1857,514,1280,390,129,168,61,722,416,3840,2904,685,2219,936,393,114,429
169,"NORTHERN","RICHNOR SPRINGS","RICHNOR SPRINGS Baltimore MD",39.346348,-76.607333,64,95,676,6,649,8,2,0,0,11,2,288,388,38,70,26,27,55,83,80,185,112,164,53,16,18,3,93,36,297,256,169,87,41,24,2,15
170,"SOUTHERN","RIDGELYS DELIGHT","RIDGELYS DELIGHT Baltimore MD",39.284645,-76.624664,102,115,884,578,203,3,66,1,9,24,32,453,431,33,21,6,11,162,388,101,123,39,114,78,21,9,4,27,10,477,416,147,269,61,26,3,32
171,"SOUTHERN","RIVERSIDE","RIVERSIDE Baltimore MD",39.272906,-76.608365,320,56,5671,5275,122,6,143,2,33,90,159,2847,2824,301,161,38,44,690,2163,867,987,420,1096,873,257,76,18,147,42,3116,2820,1799,1021,296,97,85,114
172,"SOUTHWEST","ROGNEL HEIGHTS","ROGNEL HEIGHTS Baltimore MD",39.295302,-76.688914,229,135,1695,20,1632,9,6,0,5,23,24,767,928,73,116,53,71,148,146,212,462,414,463,185,38,54,9,224,76,724,668,529,139,56,18,12,26
173,"NORTHERN","ROSEBANK","ROSEBANK Baltimore MD",39.363412,-76.611666,65,165,394,191,175,4,4,0,2,18,8,181,213,19,28,9,7,32,72,71,122,34,85,50,18,10,6,25,13,233,204,103,101,29,17,0,12
174,"SOUTHWEST","ROSEMONT","ROSEMONT Baltimore MD",39.306041,-76.671591,365,118,3102,17,3021,5,3,0,10,46,22,1452,1650,301,399,167,151,327,428,292,741,296,710,163,54,98,26,449,238,1233,1031,468,563,202,76,16,110
175,"NORTHEAST","ROSEMONT AVENUE","ROSEMONT AVENUE Baltimore MD",39.356228,-76.534415,132,71,1871,724,1032,19,30,1,10,55,28,882,989,78,172,75,94,152,273,245,553,229,446,235,92,47,25,164,82,888,808,472,336,80,28,7,45
176,"WESTERN","ROSEMONT HOMEOWNERS","ROSEMONT HOMEOWNERS Baltimore MD",39.293895,-76.615349,196,134,1460,14,1413,3,0,0,9,21,11,679,781,102,120,62,79,157,137,153,431,219,335,100,23,46,16,189,67,635,497,288,209,138,44,4,90
177,"NORTHERN","SABINA-MATTFELDT","SABINAMATTFELDT Baltimore MD",39.365241,-76.649213,32,186,172,156,5,0,6,0,0,5,2,79,93,6,14,5,1,6,20,38,54,28,43,35,13,0,0,8,6,92,86,74,12,6,0,5,1
178,"SOUTHWEST","SAINT AGNES","SAINT AGNES Baltimore MD",39.275051,-76.673757,87,130,671,325,322,5,4,0,5,10,12,307,364,21,33,22,15,39,46,75,184,236,88,48,17,12,8,28,14,307,299,104,195,8,2,1,5
179,"SOUTHEAST","SAINT HELENA","SAINT HELENA Baltimore MD",39.262356,-76.532204,54,90,602,496,55,6,0,5,18,22,41,276,326,43,43,21,22,60,91,81,174,67,142,80,27,16,11,46,20,251,230,144,86,21,8,6,7
180,"SOUTHWEST","SAINT JOSEPHS","SAINT JOSEPHS Baltimore MD",39.285815,-76.676926,230,113,2032,35,1940,4,4,0,7,42,16,895,1137,125,191,94,81,193,233,203,585,327,517,154,38,63,15,300,105,848,720,507,213,128,42,19,67
181,"WESTERN","SANDTOWN-WINCHESTER","SANDTOWNWINCHESTER Baltimore MD",39.304127,-76.644159,991,116,8534,95,8304,7,20,0,13,95,51,3747,4787,694,886,352,429,997,1075,1023,2272,806,1901,398,139,233,84,1270,660,4096,3053,1186,1867,1043,156,34,853
182,"CENTRAL","SETON HILL","SETON HILL Baltimore MD",39.295567,-76.625387,335,268,1249,168,1036,5,14,0,1,25,30,513,736,104,106,33,49,139,204,142,354,118,248,62,20,15,3,171,116,731,646,100,546,85,49,8,28
183,"SOUTHERN","SHARP LEADENHALL","SHARP LEADENHALL Baltimore MD",39.278703,-76.617443,104,127,822,221,561,1,18,0,2,19,12,390,432,74,83,29,36,145,190,81,134,50,172,44,14,13,6,115,82,376,350,87,263,26,10,6,10
184,"SOUTHWEST","SHIPLEY HILL","SHIPLEY HILL Baltimore MD",39.286513,-76.657154,274,130,2110,56,2008,2,8,2,3,31,9,991,1119,183,207,73,120,237,262,243,558,227,487,123,47,71,20,293,150,1097,724,254,470,373,47,24,302
185,"EASTERN","SOUTH CLIFTON PARK","SOUTH CLIFTON PARK Baltimore MD",39.313575,-76.588555,200,271,737,5,715,5,0,0,2,10,4,334,403,43,69,34,32,77,69,90,204,119,169,47,16,30,9,92,23,342,253,152,101,89,18,10,61
186,"NORTHEAST","STONEWOOD-PENTWOOD-W","STONEWOODPENTWOODW Baltimore MD",39.348241,-76.589269,56,40,1405,147,1208,4,7,0,10,29,31,540,865,58,73,28,36,600,138,93,217,162,228,96,21,22,7,110,36,351,322,237,85,29,16,3,10
187,"NORTHEAST","TAYLOR HEIGHTS","TAYLOR HEIGHTS Baltimore MD",39.368837,-76.532927,7,19,365,268,67,4,9,0,13,4,28,187,178,15,25,6,11,40,53,52,110,53,93,58,17,4,2,31,9,158,153,113,40,5,1,2,2
188,"SOUTHWEST","TEN HILLS","TEN HILLS Baltimore MD",39.284273,-76.701082,111,78,1416,529,792,1,30,5,15,44,40,673,743,81,102,55,46,152,231,182,427,140,347,228,94,25,15,94,52,683,649,278,371,34,9,7,18
189,"NORTHERN","THE ORCHARDS","THE ORCHARDS Baltimore MD",39.367259,-76.628275,12,24,494,433,32,2,19,0,1,7,9,241,253,33,69,15,19,12,18,74,179,75,154,135,65,4,1,15,10,197,191,187,4,6,0,2,4
190,"NORTHWEST","TOWANDA-GRANTLEY","TOWANDAGRANTLEY Baltimore MD",39.337119,-76.667977,148,112,1322,17,1284,4,0,0,1,16,6,638,684,86,116,41,57,151,149,171,389,162,320,92,18,43,11,185,82,613,460,209,251,153,39,10,104
191,"SOUTHWEST","TREMONT","TREMONT Baltimore MD",39.283495,-76.694326,61,64,958,58,882,2,3,2,2,9,4,434,524,59,86,40,31,137,154,104,279,68,247,92,27,22,9,133,68,422,389,204,185,33,18,2,13
192,"NORTHERN","TUSCANY-CANTERBURY","TUSCANYCANTERBURY Baltimore MD",39.338563,-76.622498,52,15,3413,2380,153,1,790,1,21,67,122,1609,1804,102,48,9,18,803,808,317,630,678,568,490,105,22,5,56,17,2370,2160,763,1397,210,115,21,74
193,"WESTERN","UNION SQUARE","UNION SQUARE Baltimore MD",39.286663,-76.641993,160,135,1187,323,781,13,19,0,14,37,37,654,533,63,86,31,39,118,200,198,370,82,194,95,32,27,10,72,42,738,446,188,258,292,69,40,183
194,"CENTRAL","UNIVERSITY OF MARYLA","UNIVERSITY OF MARYLA Baltimore MD",39.255676,-76.710967,153,395,387,204,93,2,77,0,2,9,12,197,190,5,6,3,3,101,183,38,42,6,23,14,1,2,2,7,3,287,229,4,225,58,25,0,33
195,"SOUTHWEST","UPLANDS","UPLANDS Baltimore MD",39.28754,-76.690718,66,80,820,15,790,1,6,0,2,6,10,354,466,54,75,32,37,79,89,90,255,109,208,93,32,11,5,104,39,325,301,240,61,24,4,7,13
196,"SOUTHEAST","UPPER FELLS POINT","UPPER FELLS POINT Baltimore MD",39.288635,-76.587833,387,100,3851,2904,264,13,142,1,387,140,832,1994,1857,227,139,50,55,503,1298,635,666,278,678,444,167,101,27,133,55,2157,1797,933,864,360,112,89,159
197,"CENTRAL","UPTON","UPTON Baltimore MD",39.301676,-76.634051,842,147,5746,78,5546,13,8,3,20,78,73,2508,3238,559,750,251,262,634,700,584,1353,653,1191,201,85,133,55,857,538,3232,2406,329,2077,826,149,20,657
198,"NORTHERN","VILLAGES OF HOMELAND","VILLAGES OF HOMELAND Baltimore MD",39.355702,-76.645724,4,7,562,429,66,1,51,0,4,12,21,210,352,19,23,4,9,182,89,72,125,40,72,49,19,3,3,19,11,317,290,165,125,27,14,5,9
199,"SOUTHWEST","VIOLETVILLE","VIOLETVILLE Baltimore MD",39.266676,-76.673035,302,121,2506,2056,307,8,42,4,24,65,72,1094,1412,145,140,81,71,159,376,289,549,696,530,352,126,61,25,117,56,1156,1083,708,375,73,23,22,28
200,"SOUTHWEST","WAKEFIELD","WAKEFIELD Baltimore MD",39.312607,-76.698026,108,61,1772,68,1643,4,13,0,17,27,33,713,1059,135,154,54,70,225,266,185,465,218,384,89,34,44,22,251,155,1037,948,24,924,89,75,1,13
201,"SOUTHWEST","WALBROOK","WALBROOK Baltimore MD",39.310806,-76.668704,349,143,2443,37,2374,3,5,0,1,23,19,1154,1289,138,203,79,135,252,262,268,713,393,532,164,43,60,22,308,123,1151,916,466,450,235,103,29,103
202,"NORTHEAST","WALTHERSON","WALTHERSON Baltimore MD",39.343534,-76.556048,364,52,6980,1982,4683,13,78,1,67,156,130,3292,3688,421,624,298,315,650,946,1033,2096,597,1662,933,365,166,71,563,275,2953,2614,2024,590,339,86,69,184
203,"SOUTHEAST","WASHINGTON HILL","WASHINGTON HILL Baltimore MD",39.2902,-76.595778,504,256,1969,590,1046,17,124,2,122,68,248,939,1030,121,132,55,38,211,483,299,493,137,373,166,57,39,11,168,89,1060,914,372,542,146,83,20,43
204,"SOUTHERN","WASHINGTON VILLAGE","WASHINGTON VILLAGE Baltimore MD",39.281275,-76.634051,823,161,5116,2034,2611,12,265,1,60,133,177,2550,2566,380,409,141,185,553,1130,738,1155,425,1089,450,167,139,48,500,269,2720,2093,1028,1065,627,159,108,360
205,"NORTHERN","WAVERLY","WAVERLY Baltimore MD",39.332166,-76.605889,236,85,2789,431,2219,8,46,1,26,58,71,1296,1493,196,228,111,121,304,461,332,787,249,646,236,80,64,26,346,155,1269,1079,638,441,190,88,22,80
206,"NORTHEAST","WEST ARLINGTON","WEST ARLINGTON Baltimore MD",39.338977,-76.6918,195,96,2041,22,1973,6,4,0,16,20,27,951,1090,105,136,69,100,211,195,246,636,343,497,211,58,46,17,240,90,895,757,451,306,138,33,12,93
207,"NORTHWEST","WEST FOREST PARK","WEST FOREST PARK Baltimore MD",39.321134,-76.6918,199,83,2408,89,2271,5,4,0,10,29,26,1036,1372,180,217,82,82,272,334,284,633,324,633,203,68,53,20,377,198,1149,1014,388,626,135,63,9,63
208,"NORTHEAST","WESTFIELD","WESTFIELD Baltimore MD",39.359582,-76.551713,214,68,3141,1585,1377,13,42,4,26,94,110,1502,1639,203,284,102,150,233,429,523,890,327,799,470,198,73,29,256,120,1386,1243,989,254,143,31,47,65
209,"SOUTHWEST","WESTGATE","WESTGATE Baltimore MD",39.284221,-76.703347,156,58,2683,709,1882,9,20,1,11,51,30,1268,1415,184,233,90,105,264,430,370,709,298,664,319,120,79,34,266,148,1145,1087,512,575,58,35,7,16
210,"NORTHERN","WILSON PARK","WILSON PARK Baltimore MD",39.343463,-76.604444,115,182,632,13,598,2,7,0,1,11,3,283,349,43,54,35,29,73,80,64,175,80,148,56,16,21,5,70,37,259,224,144,80,35,14,2,19
211,"SOUTHWEST","WINCHESTER","WINCHESTER Baltimore MD",39.304127,-76.644159,126,89,1420,16,1373,4,0,0,5,22,12,643,777,120,140,64,70,164,189,163,333,177,333,92,32,39,9,202,95,613,492,238,254,121,28,3,90
212,"NORTHWEST","WINDSOR HILLS","WINDSOR HILLS Baltimore MD",39.317915,-76.686027,165,106,1552,81,1435,4,3,1,2,26,15,701,851,96,104,69,63,159,151,184,470,256,389,182,58,38,15,169,60,723,618,407,211,105,23,22,60
213,"NORTHERN","WINSTON-GOVANS","WINSTONGOVANS Baltimore MD",39.349617,-76.608055,98,73,1341,74,1218,10,2,0,5,32,26,601,740,99,138,50,67,149,153,178,353,154,288,117,49,25,11,146,64,582,475,271,204,107,32,11,64
214,"NORTHERN","WOODBERRY","WOODBERRY Baltimore MD",39.331773,-76.649414,87,62,1406,953,349,11,31,0,14,48,56,659,747,62,64,18,21,74,311,229,350,277,266,173,47,30,9,63,22,728,615,360,255,113,87,5,21
215,"NORTHEAST","WOODBOURNE HEIGHTS","WOODBOURNE HEIGHTS Baltimore MD",39.357398,-76.592889,107,60,1795,48,1674,0,10,0,17,46,38,781,1014,119,129,62,57,242,256,189,551,190,436,178,44,43,16,215,103,853,786,311,475,67,52,3,12
216,"NORTHERN","WOODBOURNE MCCABE","WOODBOURNE MCCABE Baltimore MD",39.352717,-76.607333,96,106,908,20,864,3,1,0,5,15,10,389,519,75,96,40,45,105,122,102,209,114,211,77,28,24,12,110,49,378,300,178,122,78,12,8,58
217,"NORTHWEST","WOODMERE","WOODMERE Baltimore MD",39.346287,-76.688914,400,192,2080,46,1995,1,7,0,4,27,18,901,1179,111,141,86,98,188,216,251,631,358,555,223,52,49,12,283,103,914,821,571,250,93,25,9,59
218,"NORTHERN","WYNDHURST","WYNDHURST Baltimore MD",39.357407,-76.631163,25,36,702,616,31,0,24,0,4,27,24,338,364,42,78,27,21,30,79,131,212,82,166,134,75,9,4,23,12,343,312,182,130,31,11,3,17
